,zparm_value,macro_name
ABEXP,YES,DSN6SPRM
ABIND,YES,DSN6SPRM
ACCEL,AUTO,DSN6SPRM
ACCELMODEL,NO,DSN6SPRM
ACCESS_CNTL_MODULE,DSNX@XAC,DSN6SYSP
ACCUMACC,00010,DSN6SYSP
ACCUMUID,00000,DSN6SYSP
ADMTPROC,DNK3ADM,DSN6SPRM
AEXITLIM,00010,DSN6SPRM
AGCCSID,65534,DSNHDECP
ALL-DBNAME,ALL,DSN6SPRM
ALLOW_UPD_DEL_INS_WITH_UR,NO,DSN6SPRM
ALTERNATE_CP,,DSN6SPRM
AMCCSID,65534,DSNHDECP
APPENSCH,EBCDIC,DSNHDECP
APPLCOMPAT,V13R1M508,DSN6SPRM
ARCPFX1,DSNDNK.DNK3.ARCHLOG1,DSN6ARVP
ARCPFX2,DSNDNK.DNK3.ARCHLOG2,DSN6ARVP
ARCRETN,00007,DSN6ARVP
ARCWRTC,1011000000000000,DSN6ARVP
ARCWTOR,NO,DSN6ARVP
ARC2FRST,NO,DSN6LOGP
ASCCSID,00819,DSNHDECP
AUDITST,00000000000000000000000000000000,DSN6SYSP
AUTH,YES,DSN6SPRM
AUTH_COMPATIBILITY,SELECT_FOR_UNLOAD,DSN6SPRM
AUTHEXIT_CACHEREFRESH,NONE,DSN6SPRM
AUTHEXIT_CHECK,PRIMARY,DSN6SPRM
BACKODUR,005,DSN6SYSP
BIF_COMPATIBILITY,CURRENT,DSN6SPRM
BINDNV,BINDADD,DSN6SPRM
BLKSIZE,0000024576,DSN6ARVP
BMPTOUT,00004,DSN6SPRM
CACHEDYN,YES,DSN6SPRM
CACHEDYN_STABILIZATION,BOTH,DSN6SPRM
CATALOG,DSNDNK,DSN6SPRM
CATDDACL,,DSN6SPRM
CATDMGCL,,DSN6SPRM
CATDSTCL,,DSN6SPRM
CATXDACL,,DSN6SPRM
CATXMGCL,,DSN6SPRM
CATXSTCL,,DSN6SPRM
CDDS_MODE,NONE,DSN6LOGP
CDDS_PREFIX,DSNCAT,DSN6LOGP
CDSSRDEF,1,DSN6SPRM
CHECK_FASTREPLICATION,REQUIRED,DSN6SPRM
CHKFREQ,0000500000,DSN6SYSP
CHKLOGR,NOTUSED,DSN6SYSP
CHKMINS,NOTUSED,DSN6SYSP
CHKTYPE,SINGLE,DSN6SYSP
CMTSTAT,INACTIVE,DSN6FAC
COMCRIT,NO,DSN6SPRM
COMPACT,NO,DSN6ARVP
COMPRESS_DIRLOB,NO,DSN6SPRM
CONDBAT,0000010000,DSN6SYSP
COPY_FASTREPLICATION,PREFERRED,DSN6SPRM
CTHREAD,00200,DSN6SYSP
DATE,USA,DSNHDECP
DATELEN,000,DSNHDECP
DBACRVW,NO,DSN6SPRM
DBCHK,NO,DSN6SPRM
DB2SUPLD,NO,DSNHDECP
DDF,AUTO,DSN6FAC
DDL_MATERIALIZATION,ALWAYS_IMMEDIATE,DSN6SPRM
DDLTOX,00001,DSN6SPRM
DEALLCT,"(0000,00)",DSN6LOGP
DECARTH,DEC15,DSNHDECP
DECDIV3,NO,DSN6SPRM
DECIMAL,PERIOD,DSNHDECP
DEF_DECFLOAT_ROUND_MODE,ROUND_HALF_EVEN,DSNHDECP
DEFAULT_INSERT_ALGORITHM,00000,DSN6SPRM
DEFLANG,IBMCOB,DSNHDECP
DEFLTID,IBMUSER,DSN6SPRM
DEL_CFSTRUCTS_ON_RESTART,NO,DSN6SYSP
DELIM,DEFAULT,DSNHDECP
DESCSTAT,YES,DSN6SPRM
DISABLE_EDMRTS,NO,DSN6SPRM
DISALLOW_SEL_INTO_UNION,YES,DSN6SPRM
DISALLOW_SSARAUTH,YES,DSN6SPRM
DLDFREQ,ON,DSN6SYSP
DLITOUT,00006,DSN6SPRM
DPSEGSZ,00032,DSN6SYSP
DSHARE,YES,DSN6GRP
DSMAX,0000020000,DSN6SPRM
DSNZPARM,DSNZDNK3,DSN6SYSP
DSQLDELI,APOST,DSNHDECP
DSSTIME,00005,DSN6SYSP
DYNRULS,YES,DSNHDECP
EDM_SKELETON_POOL,0000010240,DSN6SPRM
EDMDBDC,0000023400,DSN6SPRM
EDMSTMTC,0000113386,DSN6SPRM
EN_PJSJ,OFF,DSN6SPRM
ENCRYPTION_KEYLABEL,DB2USR.KEY01,DSN6SPRM
ENSCHEME,EBCDIC,DSNHDECP
EVALUNC,NO,DSN6SPRM
EXTSEC,YES,DSN6SYSP
FCCOPYDDN,DSNDNK.&DB..&SN..N&DSNUM..&UQ.,DSN6SPRM
FLASHCOPY_COPY,NO,DSN6SPRM
FLASHCOPY_LOAD,NO,DSN6SPRM
FLASHCOPY_PPRC,REQUIRED,DSN6SPRM
FLASHCOPY_REBUILD_INDEX,NO,DSN6SPRM
FLASHCOPY_REORG_INDEX,NO,DSN6SPRM
FLASHCOPY_REORG_TS,NO,DSN6SPRM
FLASHCOPY_XRCP,YES,DSN6SPRM
FTB_NON_UNIQUE_INDEX,YES,DSN6SPRM
GCCSID,65534,DSNHDECP
GET_ACCEL_ARCHIVE,NO,DSN6SPRM
GRPNAME,DSNDNK,DSN6GRP
IDAUTH_MODULE,DSN3@ATH,DSN6SYSP
IDBACK,00100,DSN6SYSP
IDFORE,00100,DSN6SYSP
IDTHTOIN,00120,DSN6FAC
IDXBPOOL,BP0,DSN6SYSP
IGNSORTN,NO,DSN6SPRM
IMPDSDEF,YES,DSN6SYSP
IMPDSSIZE,00004,DSN6SYSP
IMPLICIT_TIMEZONE,CURRENT,DSNHDECP
IMPTKMOD,YES,DSN6SYSP
IMPTSCMP,NO,DSN6SYSP
INDEX_CLEANUP_THREADS,00010,DSN6SPRM
INDEX_MEMORY_CONTROL,AUTO,DSN6SPRM
INLISTP,0000000050,DSN6SPRM
IRLM MAXIMUM CSA USAGE ALLOWED,0000000000,DNK3IRLM
IRLMPRC,DNK3IRLM,DSN6SPRM
IRLMRWT,0000000030,DSN6SPRM
IRLMSID,INK3,DSN6SPRM
IXQTY,0000000000,DSN6SYSP
LA_SINGLESEL_ISOCS_CDY,NO,DSN6SPRM
LBACKOUT,AUTO,DSN6SYSP
LC_CTYPE,,DSNHDECP
LIKE_BLANK_INSIGNIFICANT,NO,DSN6SPRM
LOAD_DEL_IMPLICIT_SCALE,NO,DSN6SPRM
LOAD_RO_OBJECTS,NO,DSN6SPRM
LOB_INLINE_LENGTH,00000,DSN6SYSP
LOCAL CYCLES PER GLOBAL CYCLE,00001,DNK3IRLM
LRDRTHLD,00010,DSN6SPRM
MAINTYPE,SYSTEM,DSN6SPRM
MATERIALIZE_NODET_SQLTUDF,NO,DSN6SPRM
MAX_CONCURRENT_PKG_OPS,00010,DSN6SPRM
MAX_NUM_CUR,0000000500,DSN6SPRM
MAX_ST_PROC,0000002000,DSN6SPRM
MAX_UDF,0000002000,DSN6SPRM
MAXCONQN,OFF,DSN6FAC
MAXCONQW,OFF,DSN6FAC
MAXDBAT,00200,DSN6SYSP
MAXKEEPD,0000005000,DSN6SPRM
MAXOFILR,0000000100,DSN6SYSP
MAXRBLK,0000400000,DSN6SPRM
MAXRTU,00002,DSN6LOGP
MAXSORT_IN_MEMORY,0000001000,DSN6SPRM
MAXTEMPS,0000000000,DSN6SPRM
MAXTEMPS_RID,NOLIMIT,DSN6SPRM
MCCSID,65534,DSNHDECP
MEMBNAME,DNK3,DSN6GRP
MFA_AUTHCACHE_UNUSED_TIME,0000,DSN6SPRM
MINDVSCL,NONE,DSN6SPRM
MINRBLK,0000000001,DSN6SPRM
MIXED,NO,DSNHDECP
MON,00000000000000000000000000000000,DSN6SYSP
MONSIZE,0001048576,DSN6SYSP
MORE_UNION_DISTRIBUTION,OFF,DSN6SPRM
MOVE_TO_ARCHIVE_DEFAULT,N,DSN6SPRM
MXAIDTCACH,00000,DSN6SPRM
MXDTCACH,00020,DSN6SPRM
MXTBJOIN,00225,DSN6SPRM
NPGTHRSH,0000000000,DSN6SPRM
NUMLKTS,0000002000,DSN6SPRM
NUMLKUS,0000550000,DSN6SPRM
OFFLOAD,YES,DSN6LOGP
OPTHINTS,NO,DSN6SPRM
OPTXQB,ON,DSN6SPRM
OTC_LICENSE,NOT_USED,DSN6SYSP
OUTBUFF,0000004000,DSN6LOGP
PACKAGE_DEPENDENCY_LEVEL,PACKAGE,DSN6SPRM
PADIX,NO,DSN6SPRM
PADNTSTR,NO,DSNHDECP
PAGESET_PAGENUM,ABSOLUTE,DSN6SPRM
PARAMDEG,0000000000,DSN6SPRM
PARAMDEG_DPSI,0000000000,DSN6SPRM
PARAMDEG_UTIL,00099,DSN6SPRM
PC SPECIFIED,YES,DNK3IRLM
PCLOSET,00010,DSN6SYSP
PCTFREE_UPD,00000,DSN6SPRM
PEER_RECOVERY,NONE,DSN6GRP
PENDING NUMBER OF HASH ENTRIES,0000000000,DNK3IRLM
PKGREL_COMMIT,YES,DSN6SPRM
PLANMGMT,EXTENDED,DSN6SPRM
POOLINAC,00120,DSN6FAC
PREVENT_ALTERTB_LIMITKEY,NO,DSN6SPRM
PREVENT_NEW_IXCTRL_PART,NO,DSN6SPRM
PRIQTY,0000000100,DSN6ARVP
PRIVATE_PROTOCOL,NO,DSN6FAC
PROFILE_AUTOSTART,NO,DSN6SYSP
PROTECT,NO,DSN6ARVP
PROTOFF,NO,DSN6SPRM
PTASKROL,YES,DSN6SYSP
QUERY_ACCEL_OPTIONS,NONE,DSN6SPRM
QUERY_ACCEL_WAITFORDATA,0.0,DSN6SPRM
QUERY_ACCELERATION,ELIGIBLE,DSN6SPRM
QUIESCE,00005,DSN6ARVP
RANDOMATT,YES,DSN6GRP
REALSTORAGE_MAX,NOLIMIT,DSN6SPRM
REC_FASTREPLICATION,PREFERRED,DSN6SPRM
RECALL,YES,DSN6SPRM
RECALLD,00120,DSN6SPRM
REFSHAGE,0,DSN6SPRM
REMOTE_COPY_SW_ACCEL,DISABLE,DSN6LOGP
RENAMETABLE,DISALLOW_DEP_VIEW_SQLTUDF,DSN6SPRM
REORG_DROP_PBG_PARTS,DISABLE,DSN6SPRM
REORG_IC_LIMIT_DASD,00000,DSN6SPRM
REORG_IC_LIMIT_TAPE,00000,DSN6SPRM
REORG_INDEX_NOSYSUT1,NO,DSN6SPRM
REORG_LIST_PROCESSING,PARALLEL,DSN6SPRM
REORG_MAPPING_DATABASE,,DSN6SPRM
REORG_PART_SORT_NPSI,AUTO,DSN6SPRM
REORG_TS_NOPAD_DEFAULT,YES,DSN6SPRM
RESTART DEF,RESTART,DSN6SPRM
RESTORE_RECOVER_FROMDUMP,NO,DSN6SPRM
RESTORE_TAPEUNITS,NOLIMIT,DSN6SPRM
RESTRICT_ALT_COL_FOR_DCC,NO,DSN6SPRM
RETLWAIT,00000,DSN6SPRM
RETRY_STOPPED_OBJECTS,NO,DSN6SPRM
REVOKE_DEP_PRIVILEGES,SQLSTMT,DSN6SPRM
RGFCOLID,DSNRGCOL,DSN6SPRM
RGFDBNAM,DSNRGFDB,DSN6SPRM
RGFDEDPL,NO,DSN6SPRM
RGFDEFLT,ACCEPT,DSN6SPRM
RGFESCP,,DSN6SPRM
RGFFULLQ,YES,DSN6SPRM
RGFINSTL,NO,DSN6SPRM
RGFNMORT,DSN_REGISTER_OBJT,DSN6SPRM
RGFNMPRT,DSN_REGISTER_APPL,DSN6SPRM
RLF,NO,DSN6SYSP
RLFAUTH,SYSIBM,DSN6SYSP
RLFENABLE,DYNAMIC,DSN6SYSP
RLFERR,NOLIMIT,DSN6SYSP
RLFERRD,NOLIMIT,DSN6FAC
RLFERRDSTC,NOLIMIT,DSN6FAC
RLFERRSTC,NOLIMIT,DSN6SYSP
RLFTBL,01,DSN6SYSP
ROUTCDE,1000000000000000,DSN6SYSP
RPITWC,YES,DSN6SPRM
RRULOCK,YES,DSN6SPRM
SCCSID,00037,DSNHDECP
SECADM1,SECADM,DSN6SPRM
SECADM1_INPUT_STYLE,CHAR,DSN6SPRM
SECADM1_TYPE,AUTHID,DSN6SPRM
SECADM2,SECADM,DSN6SPRM
SECADM2_INPUT_STYLE,CHAR,DSN6SPRM
SECADM2_TYPE,AUTHID,DSN6SPRM
SECLCACH,00255,DSN6SPRM
SECQTY,0000000010,DSN6ARVP
SEPARATE_SECURITY,NO,DSN6SPRM
SIGNON_MODULE,DSN3@SGN,DSN6SYSP
SIMULATED_CPU_COUNT,OFF,DSN6SPRM
SIMULATED_CPU_SPEED,OFF,DSN6SPRM
SITETYP,LOCALSITE,DSN6SPRM
SJTABLES,00010,DSN6SPRM
SKIPUNCI,NO,DSN6SPRM
SMFACCT,00000000000000000000000000000000,DSN6SYSP
SMFCOMP,OFF,DSN6SYSP
SMFSTAT,00000000000000000000000000000000,DSN6SYSP
SMF89,NO,DSN6SYSP
SMGE,NO,DSN6SPRM
SPREG_LOCK_TIMEOUT_MAX,-1,DSN6SPRM
SQLDELI,DEFAULT,DSNHDECP
SQLINTRP,ENABLE,DSN6FAC
SQLLEVEL,V13R1M507,DSNHDECP
SRTPOOL,0000010000,DSN6SPRM
SSID,DNK,DSNHDECP
STARJOIN,DISABLE,DSN6SPRM
STATCLGSRT,0000000010,DSN6SPRM
STATFDBK_PROFILE,YES,DSN6SPRM
STATFDBK_SCOPE,ALL,DSN6SPRM
STATHIST,NONE,DSN6SPRM
STATIME,00001,DSN6SYSP
STATIME_DDF,00000,DSN6SYSP
STATIME_MAIN,00010,DSN6SYSP
STATPGSAMP,SYSTEM,DSN6SPRM
STATROLL,YES,DSN6SPRM
STATSINT,00030,DSN6SPRM
STDSQL,NO,DSNHDECP
STORMXAB,00000,DSN6SYSP
STORTIME,00180,DSN6SYSP
SUBSTR_COMPATIBILITY,CURRENT,DSN6SPRM
SUPERRS,YES,DSN6SPRM
SUPPRESS_HINT_SQLCODE_DYN,NO,DSN6SPRM
SVOLARC,NO,DSN6ARVP
SYNCVAL,NO,DSN6SYSP
SYSADM,BMCADM,DSN6SPRM
SYSADM2,BMCISA,DSN6SPRM
SYSOPR1,SYSOPR,DSN6SPRM
SYSOPR2,SYSOPR,DSN6SPRM
SYSTEM LOCK TABLE HASH ENTRIES,0033554432,DNK3IRLM
SYSTEM LOCK TABLE LIST ENTRIES,0000255039,DNK3IRLM
SYSTEM_LEVEL_BACKUPS,NO,DSN6SPRM
TABLE_COL_NAME_EXPANSION,OFF,DSN6SPRM
TBSBPLOB,BP0,DSN6SYSP
TBSBPOOL,BP0,DSN6SYSP
TBSBPXML,BP16K0,DSN6SYSP
TBSBP16K,BP16K0,DSN6SYSP
TBSBP32K,BP32K,DSN6SYSP
TBSBP8K,BP8K0,DSN6SYSP
TCPALVER,YES,DSN6FAC
TCPKPALV,00120,DSN6FAC
TEMPLATE_TIME,UTC,DSN6SPRM
TIME,USA,DSNHDECP
TIMELEN,000,DSNHDECP
TIMEOUT INTERVAL,0000000030,DNK3IRLM
TRACLOC,00016,DSN6SYSP
TRACTBL,00016,DSN6SYSP
TRKRSITE,NO,DSN6SPRM
TS_COMPRESSION_TYPE,FIXED_LENGTH,DSN6SPRM
TSQTY,0000000000,DSN6SYSP
